0.727, 0.729, 10, -8.799, 0, 0.0617, 0.000933, 0.707, 0.114, 0.555, 122.767, 422844, 4
0.85, 0.845, 0, -5.606, 0, 0.0568, 0.0091, 0.419, 0.092, 0.972, 124.971, 249600, 4
0.721, 0.996, 0, -5.416, 1, 0.0547, 0.000601, 0.871, 0.0836, 0.706, 125.0, 295680, 4
0.793, 0.875, 10, -6.117, 0, 0.0482, 0.000944, 0.825, 0.0231, 0.543, 125.964, 278095, 4
0.775, 0.879, 4, -5.404, 1, 0.0769, 0.00202, 0.847, 0.0191, 0.328, 124.995, 278400, 4
0.787, 0.77, 3, -4.363, 0, 0.0745, 0.00221, 0.16, 0.0682, 0.741, 124.0, 282581, 4
0.796, 0.886, 1, -6.854, 1, 0.0433, 0.00331, 0.769, 0.0529, 0.836, 125.01, 294240, 4
0.799, 0.895, 8, -6.155, 1, 0.0565, 0.00995, 0.656, 0.0649, 0.94, 124.986, 249600, 4
0.746, 0.976, 8, -3.59, 1, 0.0492, 0.00218, 0.0978, 0.0517, 0.648, 126.004, 278095, 4
0.737, 0.913, 7, -4.468, 1, 0.0711, 0.00503, 0.792, 0.0893, 0.642, 124.991, 295680, 4
0.832, 0.908, 9, -6.733, 0, 0.0785, 0.00535, 0.846, 0.0402, 0.825, 125.018, 278400, 4
0.711, 0.867, 7, -7.325, 1, 0.0411, 0.0114, 0.693, 0.019, 0.703, 124.997, 293760, 4
0.78, 0.957, 4, -2.78, 0, 0.0572, 0.00284, 0.834, 0.155, 0.54, 125.003, 293760, 4
0.646, 0.929, 7, -6.191, 1, 0.0478, 0.000553, 0.364, 0.0772, 0.408, 126.994, 243780, 4
0.731, 0.955, 11, -5.792, 1, 0.0418, 0.000433, 0.823, 0.0261, 0.742, 126.029, 276191, 4
0.794, 0.815, 1, -7.352, 0, 0.103, 0.00819, 0.792, 0.025, 0.736, 125.007, 295680, 4
0.809, 0.88, 2, -4.124, 1, 0.0776, 0.0022, 0.65, 0.0315, 0.524, 125.005, 264960, 4
0.709, 0.812, 7, -6.157, 1, 0.0436, 0.000358, 0.0527, 0.0483, 0.256, 124.979, 249600, 4
0.749, 0.878, 7, -7.73, 0, 0.0598, 0.00671, 0.83, 0.0434, 0.705, 125.004, 280320, 4
0.764, 0.943, 7, -5.192, 0, 0.0415, 0.000389, 0.693, 0.0809, 0.552, 125.005, 295680, 4
0.721, 0.996, 0, -5.416, 1, 0.0547, 0.000601, 0.871, 0.0836, 0.706, 125.0, 295680, 4
0.782, 0.816, 6, -5.847, 0, 0.0443, 0.00259, 0.811, 0.0297, 0.817, 125.006, 280320, 4
0.754, 0.977, 1, -5.322, 1, 0.045, 0.00037, 0.743, 0.0583, 0.324, 125.006, 280320, 4
0.734, 0.822, 2, -4.709, 1, 0.0739, 0.00029, 0.48, 0.0547, 0.642, 124.999, 326399, 4
0.676, 0.873, 11, -5.991, 1, 0.0434, 0.000196, 0.822, 0.0202, 0.675, 124.996, 278400, 4
0.653, 0.857, 5, -5.481, 0, 0.0479, 0.0138, 0.889, 0.0691, 0.962, 124.998, 293760, 4
0.832, 0.908, 9, -6.733, 0, 0.0785, 0.00535, 0.846, 0.0402, 0.825, 125.018, 278400, 4
0.799, 0.895, 8, -6.155, 1, 0.0565, 0.00995, 0.656, 0.0649, 0.94, 124.986, 249600, 4
0.809, 0.88, 2, -4.124, 1, 0.0776, 0.0022, 0.65, 0.0315, 0.524, 125.005, 264960, 4
0.726, 0.889, 11, -7.985, 0, 0.0551, 0.000323, 0.804, 0.0731, 0.585, 125.008, 407040, 4
0.739, 0.536, 8, -11.745, 1, 0.0438, 0.00674, 0.412, 0.074, 0.431, 123.014, 438049, 4
0.798, 0.895, 10, -7.08, 1, 0.0421, 0.00705, 0.807, 0.0252, 0.269, 125.015, 387840, 4
