0.68, 0.889, 1, -8.686, 1, 0.0489, 0.00065, 0.816, 0.162, 0.335, 140.021, 402616, 4
0.823, 0.991, 7, -6.538, 1, 0.078, 0.0346, 0.00405, 0.273, 0.326, 134.142, 239800, 4
0.805, 0.996, 5, -6.335, 0, 0.0889, 0.00121, 6.1e-05, 0.0625, 0.449, 144.122, 276600, 4
0.696, 0.991, 4, -5.973, 0, 0.123, 0.000187, 0.834, 0.0462, 0.361, 150.022, 388993, 4
0.566, 0.961, 1, -6.011, 1, 0.0393, 0.0136, 0.798, 0.428, 0.614, 104.999, 109714, 4
0.735, 0.721, 7, -12.74, 1, 0.0889, 0.541, 0.797, 0.333, 0.117, 95.01, 202128, 4
0.529, 0.761, 9, -12.815, 0, 0.0389, 0.66, 0.869, 0.111, 0.245, 105.003, 228599, 4
0.58, 0.946, 0, -8.566, 1, 0.0451, 0.22, 0.925, 0.101, 0.448, 104.976, 171455, 4
0.479, 0.671, 1, -6.633, 1, 0.0459, 0.000627, 0.0186, 0.106, 0.0364, 75.017, 235208, 4
0.491, 0.835, 5, -5.854, 0, 0.065, 0.000702, 0.161, 0.0875, 0.0371, 150.071, 308817, 4
0.512, 0.957, 11, -3.923, 0, 0.0386, 0.000317, 0.111, 0.047, 0.634, 150.043, 256561, 4
0.473, 0.88, 9, -5.241, 0, 0.0391, 0.002, 0.00295, 0.0661, 0.262, 170.103, 295081, 4
0.286, 0.985, 10, -6.21, 0, 0.0759, 0.000134, 0.743, 0.143, 0.69, 82.908, 467200, 4
0.475, 0.872, 5, -4.365, 0, 0.0605, 0.000115, 0.0173, 0.295, 0.188, 151.955, 183158, 4
0.694, 0.998, 11, -4.415, 0, 0.103, 0.00796, 0.887, 0.0528, 0.839, 146.987, 341225, 4
0.557, 0.999, 8, -6.38, 1, 0.0709, 0.00314, 0.785, 0.0872, 0.487, 148.004, 396667, 4
0.466, 0.834, 1, -6.111, 1, 0.0399, 0.0647, 0.764, 0.0752, 0.13, 150.039, 176800, 4
0.52, 0.921, 1, -4.86, 1, 0.0616, 0.0146, 0.626, 0.0467, 0.264, 150.031, 321600, 4
0.502, 1.0, 7, -1.912, 1, 0.348, 0.00284, 0.672, 0.343, 0.0343, 119.917, 280067, 4
