0.696, 0.435, 6, -12.906, 1, 0.0532, 0.0211, 0.858, 0.0981, 0.568, 107.0, 467733, 4
0.73, 0.546, 1, -12.955, 1, 0.0398, 0.00381, 0.836, 0.0981, 0.363, 104.008, 380156, 4
0.647, 0.499, 5, -13.38, 0, 0.0329, 8.27e-05, 0.849, 0.11, 0.176, 110.999, 487061, 4
0.8, 0.758, 4, -9.869, 0, 0.0504, 0.0233, 0.911, 0.0628, 0.448, 120.008, 426000, 4
0.683, 0.808, 11, -8.678, 1, 0.076, 0.00355, 0.89, 0.121, 0.333, 122.012, 354142, 4
0.629, 0.743, 7, -9.3, 1, 0.0372, 0.00436, 0.919, 0.0698, 0.529, 120.001, 320026, 4
0.767, 0.567, 7, -8.247, 1, 0.0467, 0.000189, 0.799, 0.059, 0.43, 109.999, 366576, 4
0.794, 0.798, 0, -8.254, 1, 0.0582, 0.0155, 0.874, 0.107, 0.229, 109.978, 366576, 4
0.653, 0.664, 9, -12.955, 0, 0.0483, 0.00256, 0.882, 0.0773, 0.26, 123.992, 286485, 4
0.806, 0.532, 0, -10.187, 1, 0.0636, 0.000912, 0.925, 0.0292, 0.601, 122.014, 378830, 4
0.634, 0.848, 0, -8.842, 1, 0.0374, 0.000417, 0.858, 0.114, 0.109, 120.0, 432875, 4
0.799, 0.764, 6, -11.161, 0, 0.0521, 0.00126, 0.857, 0.0824, 0.348, 120.002, 434635, 4
0.809, 0.549, 4, -8.916, 0, 0.0492, 0.00293, 0.833, 0.0888, 0.29, 120.008, 420250, 4
0.728, 0.689, 7, -10.705, 0, 0.0637, 0.04, 0.857, 0.11, 0.24, 104.996, 410607, 4
0.805, 0.876, 4, -9.185, 0, 0.0502, 0.00459, 0.799, 0.079, 0.417, 122.0, 446845, 4
0.762, 0.788, 10, -8.775, 0, 0.0426, 0.0027, 0.827, 0.102, 0.11, 118.006, 457202, 4
0.63, 0.411, 4, -11.756, 0, 0.0408, 0.846, 0.000712, 0.366, 0.287, 143.995, 437046, 4
0.688, 0.658, 0, -10.942, 1, 0.0297, 0.0188, 0.885, 0.0646, 0.698, 122.011, 390000, 4
0.807, 0.506, 10, -12.527, 0, 0.0478, 0.256, 0.842, 0.111, 0.646, 109.993, 380000, 4
0.699, 0.829, 2, -8.013, 1, 0.038, 0.000895, 0.918, 0.305, 0.276, 120.022, 482000, 4
0.62, 0.653, 2, -11.48, 1, 0.0422, 0.0205, 0.857, 0.112, 0.0404, 120.011, 559503, 4
0.591, 0.731, 7, -9.546, 1, 0.049, 0.0124, 0.901, 0.0996, 0.525, 180.05, 320085, 4
0.834, 0.778, 10, -10.971, 0, 0.0599, 0.296, 0.693, 0.235, 0.455, 114.851, 472136, 4
0.595, 0.793, 1, -9.268, 1, 0.0421, 0.00025, 0.92, 0.155, 0.131, 114.005, 460567, 4
0.754, 0.609, 11, -12.376, 0, 0.0498, 0.000283, 0.855, 0.0701, 0.275, 110.012, 545499, 4
0.349, 0.44, 5, -12.726, 0, 0.0335, 0.374, 0.938, 0.104, 0.167, 179.99, 409974, 4
0.702, 0.883, 11, -11.031, 1, 0.236, 0.286, 0.372, 0.386, 0.199, 111.005, 293906, 4
0.577, 0.839, 7, -11.693, 1, 0.043, 0.000908, 0.827, 0.113, 0.0392, 110.02, 531498, 4
0.543, 0.356, 9, -12.997, 1, 0.0263, 0.00259, 0.869, 0.177, 0.0389, 95.008, 430001, 4
0.742, 0.556, 10, -12.884, 0, 0.0776, 0.0231, 0.887, 0.368, 0.57, 104.987, 411500, 4
0.578, 0.745, 1, -6.503, 0, 0.0457, 0.00336, 0.704, 0.0655, 0.333, 123.022, 268293, 4
0.689, 0.825, 4, -6.2, 0, 0.0461, 0.00357, 0.799, 0.0822, 0.37, 122.978, 298537, 4
0.661, 0.668, 7, -6.703, 1, 0.0349, 2.22e-05, 0.892, 0.0698, 0.176, 122.001, 287213, 4
0.692, 0.61, 9, -9.219, 1, 0.0322, 0.00793, 0.618, 0.115, 0.15, 117.984, 510508, 4
0.805, 0.677, 7, -9.453, 1, 0.0538, 0.00999, 0.872, 0.0963, 0.234, 119.999, 428000, 4
0.711, 0.666, 9, -8.559, 0, 0.0355, 0.142, 0.912, 0.116, 0.108, 117.997, 427119, 4
0.7, 0.639, 4, -11.877, 0, 0.052, 0.179, 0.879, 0.119, 0.344, 100.003, 268800, 4
0.599, 0.629, 4, -13.041, 0, 0.0492, 0.246, 0.894, 0.0885, 0.523, 165.991, 263133, 4
0.605, 0.753, 1, -11.828, 1, 0.0352, 0.302, 0.826, 0.0809, 0.536, 96.015, 350000, 4
0.647, 0.711, 0, -11.976, 1, 0.047, 0.0483, 0.865, 0.108, 0.669, 163.965, 240000, 4
0.682, 0.629, 4, -9.985, 0, 0.032, 0.0203, 0.00678, 0.104, 0.231, 119.975, 284500, 4
0.703, 0.594, 4, -8.317, 0, 0.0441, 0.00076, 0.0528, 0.0583, 0.17, 100.497, 312239, 4
