0.703, 0.968, 6, -2.472, 0, 0.258, 0.0103, 0.741, 0.625, 0.873, 174.921, 186514, 4
0.705, 0.894, 6, -6.996, 0, 0.253, 0.000277, 0.781, 0.406, 0.324, 174.013, 195862, 4
0.641, 0.985, 7, -5.328, 1, 0.203, 8.1e-05, 0.813, 0.36, 0.491, 173.992, 280076, 4
0.637, 0.964, 1, -2.494, 0, 0.0761, 0.00602, 0.847, 0.348, 0.497, 173.999, 221554, 4
0.668, 0.98, 1, -4.973, 1, 0.173, 0.176, 0.539, 0.119, 0.45, 159.807, 164951, 4
0.645, 0.801, 5, -5.232, 0, 0.0552, 0.191, 0.841, 0.0606, 0.339, 173.997, 297931, 4
0.528, 0.535, 6, -10.646, 0, 0.0346, 0.0353, 0.813, 0.0987, 0.293, 174.006, 292414, 4
0.581, 0.818, 1, -6.108, 0, 0.0397, 0.0707, 0.872, 0.102, 0.179, 174.984, 334629, 4
0.529, 0.877, 9, -3.395, 1, 0.0616, 0.00104, 0.839, 0.109, 0.0733, 175.002, 334629, 4
0.69, 0.748, 1, -6.142, 0, 0.116, 0.00175, 0.0947, 0.703, 0.073, 86.791, 285520, 3
0.688, 0.869, 4, -4.073, 0, 0.0601, 0.0176, 0.916, 0.0524, 0.487, 174.028, 282760, 4
0.655, 0.727, 5, -8.053, 0, 0.0764, 0.0883, 0.796, 0.107, 0.184, 174.04, 295173, 4
0.695, 0.901, 1, -5.17, 1, 0.083, 0.000455, 0.77, 0.124, 0.18, 174.022, 270347, 4
0.649, 0.594, 4, -12.083, 1, 0.14, 0.0396, 0.0926, 0.112, 0.134, 180.064, 138275, 4
0.464, 0.589, 4, -9.853, 1, 0.0527, 0.313, 0.571, 0.042, 0.04, 87.383, 219450, 4
0.464, 0.589, 4, -9.853, 1, 0.0527, 0.313, 0.571, 0.042, 0.04, 87.383, 219450, 4
0.584, 0.764, 7, -14.221, 1, 0.0674, 0.00952, 0.437, 0.267, 0.249, 179.938, 205356, 4
0.233, 0.76, 10, -7.73, 0, 0.043, 0.0112, 0.866, 0.126, 0.212, 173.942, 228606, 4
