0.657, 0.803, 8, -7.712, 1, 0.427, 0.167, 0, 0.13, 0.7, 171.961, 205061, 4
0.797, 0.583, 4, -5.838, 1, 0.36, 0.0325, 0.915, 0.296, 0.0982, 127.992, 248000, 4
0.801, 0.819, 7, -8.802, 1, 0.0577, 0.498, 0.907, 0.0816, 0.283, 124.001, 234194, 4
0.803, 0.632, 11, -7.483, 1, 0.0568, 0.000166, 0.856, 0.103, 0.539, 124.991, 280525, 4
0.617, 0.77, 11, -9.233, 0, 0.0337, 0.00207, 0.744, 0.105, 0.393, 135.387, 423111, 4
0.639, 0.917, 6, -11.965, 0, 0.0498, 0.0234, 0.796, 0.102, 0.146, 137.671, 510435, 3
0.734, 0.72, 1, -8.336, 1, 0.041, 0.000293, 0.912, 0.099, 0.485, 125.994, 355594, 4
0.438, 0.804, 1, -14.247, 1, 0.0938, 0.00962, 0.724, 0.133, 0.0761, 139.945, 263912, 4
0.807, 0.802, 7, -10.791, 0, 0.0501, 0.0394, 0.92, 0.124, 0.512, 119.0, 426852, 4
0.766, 0.692, 2, -11.198, 1, 0.0449, 0.0143, 0.866, 0.069, 0.246, 120.996, 431423, 4
0.809, 0.616, 2, -11.931, 1, 0.0557, 0.0577, 0.939, 0.102, 0.36, 120.997, 340340, 4
0.802, 0.515, 7, -11.327, 0, 0.0625, 0.000466, 0.86, 0.125, 0.641, 121.009, 274185, 4
0.628, 0.581, 2, -9.656, 1, 0.0594, 0.393, 0.0017, 0.112, 0.637, 173.98, 189655, 4
0.78, 0.913, 1, -9.947, 1, 0.0466, 0.000323, 0.899, 0.114, 0.0597, 128.007, 348750, 4
0.793, 0.713, 11, -12.252, 0, 0.0616, 0.00152, 0.918, 0.0993, 0.131, 130.991, 342595, 4
0.793, 0.956, 4, -10.19, 0, 0.0549, 0.0219, 0.923, 0.0749, 0.954, 132.995, 366316, 4
0.694, 0.722, 7, -11.336, 1, 0.0543, 0.0855, 0.872, 0.112, 0.416, 132.213, 807397, 4
0.707, 0.754, 7, -9.662, 1, 0.125, 0.000967, 0.825, 0.136, 0.38, 132.184, 451126, 4
0.769, 0.628, 6, -9.891, 1, 0.0677, 5.52e-05, 0.927, 0.108, 0.781, 138.152, 579909, 4
0.544, 0.815, 11, -8.419, 0, 0.064, 0.000829, 0.942, 0.0992, 0.0548, 129.994, 284308, 4
0.758, 0.605, 7, -11.431, 1, 0.0435, 0.029, 0.918, 0.121, 0.156, 130.039, 341538, 4
