0.616, 0.867, 1, -8.301, 1, 0.133, 0.00096, 0.854, 0.343, 0.213, 128.06, 276392, 4
0.738, 0.73, 1, -6.274, 1, 0.0493, 0.000778, 0.706, 0.0683, 0.708, 125.022, 278400, 4
0.723, 0.769, 5, -9.613, 1, 0.0477, 0.216, 0.873, 0.332, 0.787, 112.017, 336429, 4
0.558, 0.937, 4, -5.549, 1, 0.18, 0.000674, 0.835, 0.106, 0.774, 111.717, 240937, 3
0.156, 0.193, 3, -22.576, 0, 0.0326, 0.951, 0.837, 0.0536, 0.0343, 96.555, 229387, 4
0.425, 0.664, 5, -15.443, 0, 0.077, 0.531, 0.905, 0.268, 0.0928, 107.003, 240333, 4
0.545, 0.677, 1, -16.106, 1, 0.069, 0.297, 0.482, 0.125, 0.38, 160.062, 300387, 4
0.225, 0.244, 11, -18.744, 0, 0.0414, 0.604, 0.728, 0.128, 0.217, 64.518, 235787, 4
0.322, 0.488, 11, -18.154, 0, 0.066, 0.741, 0.000143, 0.37, 0.232, 82.675, 64987, 4
0.517, 0.653, 9, -13.156, 1, 0.106, 0.12, 0.392, 0.3, 0.148, 137.036, 205227, 4
0.654, 0.72, 8, -13.573, 0, 0.201, 0.0029, 0.879, 0.358, 0.193, 190.031, 204627, 4
0.685, 0.687, 6, -13.143, 0, 0.0689, 0.158, 0.818, 0.406, 0.558, 150.056, 223947, 4
0.38, 0.949, 11, -11.845, 0, 0.165, 0.0365, 0.416, 0.0757, 0.38, 149.876, 150893, 4
0.148, 0.598, 8, -15.547, 1, 0.0663, 0.218, 0.0477, 0.371, 0.224, 137.391, 249867, 4
0.327, 0.597, 11, -14.564, 0, 0.0602, 0.108, 0.0626, 0.247, 0.0786, 163.21, 200573, 4
0.25, 0.331, 1, -15.903, 1, 0.0528, 0.751, 3.85e-05, 0.116, 0.423, 154.242, 216827, 3
0.158, 0.0724, 9, -24.718, 1, 0.0449, 0.883, 0.535, 0.0869, 0.0478, 109.078, 202480, 4
0.65, 0.8, 7, -15.923, 1, 0.0764, 0.00435, 0.775, 0.136, 0.384, 160.066, 291320, 4
0.144, 0.709, 9, -14.511, 0, 0.137, 0.0177, 0.104, 0.291, 0.0754, 77.929, 246347, 4
0.694, 0.268, 5, -15.325, 1, 0.0492, 0.0761, 0.817, 0.0884, 0.186, 132.992, 239573, 4
0.313, 0.359, 5, -16.848, 0, 0.0526, 0.248, 0.000183, 0.389, 0.193, 86.711, 105773, 4
0.3, 0.0419, 5, -20.852, 1, 0.0367, 0.984, 0.907, 0.11, 0.066, 109.721, 104867, 4
0.609, 0.553, 9, -17.802, 1, 0.0907, 0.602, 0.2, 0.408, 0.138, 106.985, 187333, 4
0.273, 0.0591, 4, -19.708, 0, 0.0453, 0.0433, 0.583, 0.107, 0.0392, 86.353, 195560, 3
0.628, 0.888, 1, -12.709, 1, 0.158, 0.00911, 0.677, 0.154, 0.194, 136.053, 242547, 4
0.389, 0.686, 1, -15.252, 0, 0.0593, 0.186, 0.412, 0.245, 0.262, 136.217, 241507, 3
0.741, 0.987, 11, -5.953, 0, 0.0532, 1.04e-05, 0.928, 0.0217, 0.482, 139.006, 253316, 4
0.479, 0.823, 11, -9.038, 1, 0.424, 0.0304, 0.895, 0.0878, 0.376, 100.728, 173581, 3
0.408, 0.982, 4, -7.069, 0, 0.0663, 0.000695, 0.842, 0.0792, 0.299, 113.301, 367945, 3
0.436, 0.668, 2, -11.574, 0, 0.0574, 0.0348, 0.738, 0.346, 0.606, 133.965, 360000, 4
0.749, 0.848, 10, -9.613, 0, 0.0524, 0.000105, 0.924, 0.559, 0.189, 136.004, 313578, 4
0.833, 0.677, 6, -4.405, 0, 0.484, 0.0267, 1.2e-06, 0.0805, 0.39, 77.452, 235818, 4
0.404, 0.802, 6, -7.47, 1, 0.134, 0.00879, 0.00293, 0.126, 0.633, 119.982, 246830, 3
0.658, 0.814, 1, -7.299, 1, 0.351, 0.00334, 0.00159, 0.306, 0.428, 159.623, 303000, 4
0.57, 0.946, 7, -6.081, 1, 0.0378, 0.0129, 0.83, 0.199, 0.459, 160.002, 200363, 4
0.646, 0.835, 4, -8.552, 1, 0.111, 0.000606, 0.483, 0.206, 0.459, 159.972, 245483, 4
0.844, 0.795, 6, -7.499, 1, 0.0691, 0.107, 0.42, 0.111, 0.906, 140.01, 248000, 4
0.758, 0.997, 10, -7.084, 0, 0.0618, 0.000981, 0.88, 0.0577, 0.619, 140.994, 260426, 4
0.667, 0.947, 10, -8.755, 0, 0.0359, 0.000362, 0.749, 0.355, 0.221, 134.001, 209552, 4
0.585, 0.857, 6, -8.873, 1, 0.0818, 7.92e-05, 0.718, 0.251, 0.39, 160.006, 260073, 4
0.703, 0.81, 7, -9.162, 1, 0.051, 4.47e-06, 0.912, 0.0867, 0.28, 149.999, 230393, 4
0.67, 0.868, 10, -10.317, 0, 0.142, 0.0672, 0.602, 0.311, 0.487, 160.004, 277939, 4
0.742, 0.673, 1, -9.347, 1, 0.0574, 0.0576, 0.902, 0.105, 0.502, 159.98, 290691, 4
0.628, 0.97, 2, -10.716, 1, 0.0459, 0.0234, 0.907, 0.163, 0.281, 130.003, 284129, 4
0.676, 0.911, 11, -7.768, 0, 0.0472, 0.0119, 0.734, 0.127, 0.244, 145.001, 264598, 4
0.666, 0.511, 11, -7.373, 0, 0.0609, 0.00807, 0.905, 0.0762, 0.468, 150.008, 232951, 3
0.709, 0.833, 7, -4.459, 0, 0.0498, 0.0983, 0.748, 0.325, 0.972, 191.992, 161562, 3
0.735, 0.275, 5, -15.061, 0, 0.467, 0.808, 0.00136, 0.12, 0.351, 140.17, 103741, 4
0.612, 0.973, 4, -7.435, 0, 0.0632, 0.00447, 0.828, 0.0977, 0.612, 142.029, 353000, 4
0.72, 0.999, 11, -7.645, 0, 0.0765, 0.000243, 0.796, 0.128, 0.652, 137.988, 116000, 4
0.452, 0.982, 4, -12.948, 0, 0.101, 0.00802, 0.792, 0.33, 0.251, 155.998, 283169, 4
0.765, 0.86, 6, -8.783, 0, 0.0545, 0.00301, 0.72, 0.252, 0.247, 139.978, 278314, 4
0.702, 0.806, 5, -10.169, 1, 0.0526, 0.000321, 0.764, 0.262, 0.091, 128.008, 350589, 4
0.557, 0.666, 1, -10.794, 0, 0.0773, 0.0364, 0.793, 0.0761, 0.105, 118.922, 266240, 4
0.605, 0.689, 1, -10.823, 1, 0.0659, 0.0255, 0.249, 0.0574, 0.37, 165.987, 352700, 4
0.769, 0.647, 0, -11.466, 0, 0.11, 0.109, 0.831, 0.523, 0.16, 141.943, 418064, 4
0.661, 0.574, 6, -9.695, 0, 0.0413, 0.000277, 0.837, 0.0894, 0.381, 125.986, 349935, 4
0.654, 0.534, 0, -11.505, 0, 0.0329, 0.333, 0.906, 0.112, 0.0366, 130.03, 318968, 4
0.586, 0.461, 9, -8.737, 0, 0.192, 0.176, 0.868, 0.105, 0.573, 151.993, 218585, 4
0.894, 0.636, 2, -8.244, 1, 0.0557, 0.00508, 0.801, 0.0779, 0.0779, 126.026, 234000, 4
0.6, 0.783, 1, -7.127, 1, 0.404, 0.00114, 0, 0.342, 0.507, 160.536, 246000, 5
0.784, 0.691, 0, -10.205, 1, 0.141, 0.0583, 0.72, 0.123, 0.526, 149.992, 368964, 4
0.794, 0.735, 11, -8.519, 1, 0.0498, 0.0134, 0.836, 0.113, 0.111, 128.015, 279917, 4
0.798, 0.752, 11, -8.187, 0, 0.063, 0.000813, 0.899, 0.0944, 0.303, 130.008, 358415, 4
0.767, 0.767, 10, -9.881, 0, 0.0501, 0.0173, 0.876, 0.112, 0.542, 155.015, 289025, 4
0.601, 0.876, 10, -7.082, 0, 0.0355, 0.000506, 0.94, 0.147, 0.252, 139.998, 307881, 4
0.641, 0.861, 7, -6.933, 1, 0.0435, 0.00402, 0.711, 0.354, 0.6, 140.004, 425143, 4
0.77, 0.789, 11, -9.469, 1, 0.0751, 0.0123, 0.838, 0.08, 0.629, 137.017, 382555, 4
0.772, 0.807, 2, -5.583, 1, 0.0571, 0.0295, 0.887, 0.0772, 0.793, 132.003, 280470, 4
0.791, 0.474, 11, -20.514, 0, 0.066, 0.0799, 0.913, 0.0453, 0.858, 132.002, 363636, 4
0.33, 0.823, 7, -5.021, 1, 0.123, 6.59e-06, 0.784, 0.504, 0.39, 119.836, 150000, 4
0.565, 0.494, 6, -8.519, 0, 0.0511, 0.0696, 0.969, 0.125, 0.0414, 80.004, 120184, 4
0.846, 0.507, 11, -11.623, 0, 0.295, 0.0842, 0.741, 0.115, 0.4, 160.011, 121000, 4
0.709, 0.702, 7, -9.093, 1, 0.226, 0.0203, 0.422, 0.139, 0.474, 160.058, 180000, 4
0.525, 0.835, 7, -7.279, 1, 0.104, 4.18e-05, 0.879, 0.165, 0.133, 159.971, 157000, 4
0.488, 0.651, 9, -7.51, 1, 0.19, 0.00699, 0.107, 0.125, 0.155, 160.02, 197000, 4
0.51, 0.646, 4, -7.66, 0, 0.186, 0.372, 3.82e-05, 0.192, 0.48, 118.84, 180298, 3
0.641, 0.412, 7, -13.002, 1, 0.0962, 0.0065, 0.317, 0.198, 0.561, 160.061, 112614, 4
0.735, 0.604, 7, -9.001, 1, 0.273, 9.41e-05, 0.564, 0.082, 0.374, 159.881, 193000, 4
0.56, 0.828, 6, -5.086, 1, 0.178, 6.74e-05, 0.935, 0.649, 0.542, 106.723, 121000, 3
0.458, 0.797, 7, -8.495, 1, 0.0912, 0.00539, 0.0797, 0.2, 0.269, 159.948, 242634, 4
0.551, 0.653, 4, -6.765, 0, 0.16, 0.0616, 0.347, 0.357, 0.27, 160.09, 234000, 4
0.591, 0.771, 6, -5.607, 0, 0.058, 0.000154, 0.654, 0.277, 0.472, 120.316, 171000, 3
0.576, 0.56, 7, -6.295, 1, 0.174, 0.00144, 0.924, 0.0807, 0.476, 166.608, 272259, 5
0.492, 0.369, 10, -7.909, 0, 0.251, 0.011, 0.669, 0.145, 0.127, 178.219, 260302, 5
0.885, 0.818, 0, -8.995, 1, 0.218, 0.0988, 0.228, 0.115, 0.389, 128.029, 272344, 4
0.637, 0.589, 1, -5.546, 1, 0.129, 0.115, 0.0113, 0.119, 0.151, 189.781, 183331, 3
0.835, 0.569, 4, -10.54, 1, 0.0639, 0.473, 0.851, 0.148, 0.632, 130.018, 332015, 4
0.5, 0.676, 6, -6.23, 1, 0.312, 0.0028, 0.811, 0.1, 0.041, 81.988, 216585, 4
0.774, 0.455, 3, -11.151, 0, 0.406, 0.664, 0.615, 0.0878, 0.399, 76.076, 214737, 4
0.347, 0.648, 11, -9.494, 0, 0.195, 0.105, 0.00435, 0.137, 0.15, 83.381, 211755, 4
0.677, 0.956, 10, -9.706, 0, 0.0781, 6.18e-05, 0.877, 0.0703, 0.852, 149.989, 340440, 4
0.693, 0.843, 2, -7.073, 1, 0.0683, 0.000378, 0.879, 0.113, 0.212, 160.034, 432000, 4
0.702, 0.865, 7, -4.978, 1, 0.348, 0.0889, 0, 0.0714, 0.692, 94.05, 211915, 4
0.668, 0.534, 5, -10.283, 1, 0.251, 0.168, 0, 0.0766, 0.735, 173.892, 190511, 4
0.636, 0.682, 5, -5.712, 0, 0.315, 0.182, 0, 0.226, 0.789, 84.013, 187659, 4
0.528, 0.647, 1, -9.001, 1, 0.0906, 0.391, 0, 0.174, 0.797, 85.01, 201442, 4
0.699, 0.603, 10, -9.29, 0, 0.18, 0.0644, 0, 0.286, 0.857, 85.058, 179174, 4
0.751, 0.591, 5, -7.126, 0, 0.0431, 0.0201, 0.913, 0.14, 0.691, 170.024, 237566, 4
0.653, 0.574, 9, -9.983, 0, 0.411, 0.0903, 0, 0.315, 0.721, 94.262, 146115, 4
[0.586, 0.521, 6, -7.804, 1, 0.403, 0.00655, 4.3e-05, 0.289, 0.298, 119.748, 539678, 3]
[0.528, 0.235, 6, -7.108, 1, 0.229, 0.123, 0.789, 0.12, 0.183, 159.885, 349523, 4]
[0.803, 0.237, 1, -7.32, 1, 0.123, 0.00343, 0.9, 0.121, 0.0576, 159.981, 182531, 4]
[0.738, 0.348, 1, -14.714, 1, 0.137, 0.0165, 0.735, 0.131, 0.353, 146.03, 275106, 4]
[0.642, 0.695, 1, -4.869, 0, 0.033, 0.000346, 0.00208, 0.34, 0.136, 156.993, 232240, 4]
[0.579, 0.661, 4, -6.533, 0, 0.311, 9.48e-05, 0.898, 0.123, 0.0761, 160.033, 164709, 4]
[0.658, 0.522, 7, -9.696, 1, 0.264, 0.0124, 0.857, 0.113, 0.186, 160.051, 264191, 4]
[0.469, 0.387, 1, -6.386, 0, 0.102, 0.000786, 0.496, 0.116, 0.153, 152.802, 160710, 4]
